S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,t,Exercise,ExerciseMode
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-17268.6, -16202.2]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-16903.1, -16061.95]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.0,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-17268.6, -16202.2]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.03,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-17268.6, -16202.2]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.06,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-17268.6, -16202.2]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.09,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-16202.2, -15135.8]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-16903.1, -16061.95]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.12,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-17268.6, -16202.2]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.15,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-17268.6, -16202.2]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.18,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-16202.2, -15135.8]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.21,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-16202.2, -15135.8]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.24,7,1
"(-9490.32, -8913.0]","(-17664.85, -16448.5]","(-20456.1, -19579.15]","(-17319.4, -16191.8]","(-14926.9, -13423.35]","(-27694.8, -27426.7]","(-8702.2, -7021.4]","(18441.7, 20033.4]","(-1350.2, 1492.9]","(-1798.55, 249.4]","(-8948.6, -6461.4]","(-17586.75, -15461.7]","(-16202.2, -15135.8]","(249.25, 2177.2]","(-7542.0, -6496.75]","(-32690.4, -32690.0]","(-18481.7, -17272.65]","(-10820.6, -9332.0]","(-7289.0, -5396.6]","(-28945.7, -28669.6]","(-16751.8, -16042.5]","(31832.3, 32767.0]","(-7597.9, -7262.55]","(-20469.3, -19157.6]","(-8135.2, -6371.4]","(-23083.25, -21921.9]","(-17744.25, -16903.1]","(-20713.0, -19627.0]","(12137.8, 13388.6]",0.27,7,1
