"Time","F1","F2","F3","C1","C2"
"0.0","c","b","d","2","d"
"0.1","b","c","d","2","d"
"0.2","a","b","d","2","d"
"0.30000000000000004","c","c","d","2","d"
"0.4","b","b","c","2","d"
"0.5","a","c","b","2","d"
"0.6000000000000001","c","b","d","2","d"
"0.7000000000000001","b","c","d","2","d"
"0.8","a","b","d","2","d"
"0.9","c","c","d","2","d"
"1.0","b","b","c","2","d"
"1.1","a","c","b","2","d"
"1.2000000000000002","c","b","d","2","d"
"1.3","b","c","d","2","d"
"1.4000000000000001","a","b","d","2","d"
"1.5","c","c","d","2","d"
"1.6","b","b","c","2","d"
"1.7000000000000002","a","c","b","2","d"
"1.8","c","b","d","2","d"
"1.9000000000000001","b","c","d","2","d"
"2.0","a","b","d","2","d"
"2.1","c","c","d","2","d"
"2.2","b","b","c","2","d"
"2.3000000000000003","a","c","b","2","d"
"2.4000000000000004","c","b","d","2","d"
"2.5","b","c","d","2","d"
"2.6","a","b","d","2","d"
"2.7","c","c","d","2","d"
"2.8000000000000003","b","b","c","2","d"
"2.9000000000000004","a","c","b","2","d"
"3.0","c","b","d","2","d"
"3.1","b","c","d","2","d"
"3.2","a","b","d","2","d"
"3.3000000000000003","c","c","d","2","d"
"3.4000000000000004","b","b","c","2","d"
"3.5","a","c","b","2","d"
"3.6","c","b","d","2","d"
"3.7","b","c","d","2","d"
"3.8000000000000003","a","b","d","2","d"
"3.9000000000000004","c","c","d","2","d"
"4.0","b","b","c","2","d"
"4.1000000000000005","a","c","b","2","d"
"4.2","c","b","d","2","d"
"4.3","b","c","d","2","d"
"4.4","a","b","d","2","d"
"4.5","c","c","d","2","d"
"4.6000000000000005","b","b","c","2","d"
"4.7","a","c","b","2","d"
"4.800000000000001","c","b","d","2","d"
"4.9","b","c","d","2","d"
"5.0","a","b","d","2","d"
"5.1000000000000005","c","c","d","2","d"
"5.2","b","b","c","2","d"
"5.300000000000001","a","c","b","2","d"
"5.4","c","b","d","2","d"
"5.5","b","c","d","2","d"
"5.6000000000000005","a","b","d","2","d"
"5.7","c","c","d","2","d"
"5.800000000000001","b","b","c","2","d"
"5.9","a","c","b","2","d"
"6.0","c","b","d","2","d"
"6.1000000000000005","b","c","d","2","d"
"6.2","a","b","d","2","d"
"6.300000000000001","c","c","d","2","d"
"6.4","b","b","c","2","d"
"6.5","a","c","b","2","d"
"6.6000000000000005","c","b","d","2","d"
"6.7","b","c","d","2","d"
"6.800000000000001","a","b","d","2","d"
"6.9","c","c","d","2","d"
"7.0","b","b","c","2","d"
"7.1000000000000005","a","c","b","2","d"
"7.2","c","b","d","2","d"
"7.300000000000001","b","c","d","2","d"
"7.4","a","b","d","2","d"
"7.5","c","c","d","2","d"
"7.6000000000000005","b","b","c","2","d"
"7.7","a","c","b","2","d"
"7.800000000000001","c","b","d","2","d"
"7.9","b","c","d","2","d"
"8.0","a","b","d","2","d"
"8.1","c","c","d","2","d"
"8.200000000000001","b","b","c","2","d"
"8.3","a","c","b","2","d"
"8.4","c","b","d","2","d"
"8.5","b","c","d","2","d"
"8.6","a","b","d","2","d"
"8.700000000000001","c","c","d","2","d"
"8.8","b","b","c","2","d"
"8.9","a","c","b","2","d"
"9.0","c","b","d","2","d"
"9.1","b","c","d","2","d"
"9.200000000000001","a","b","d","2","d"
"9.3","c","c","d","2","d"
"9.4","b","b","c","2","d"
"9.5","a","c","b","2","d"
"9.600000000000001","c","b","d","2","d"
"9.700000000000001","b","c","d","2","d"
"9.8","a","b","d","2","d"
"9.9","c","c","d","2","d"
"10.0","b","b","c","2","d"
"10.100000000000001","a","c","b","2","d"
"10.200000000000001","c","b","d","2","d"
"10.3","b","c","d","2","d"
"10.4","a","b","d","2","d"
"10.5","c","c","d","2","d"
"10.600000000000001","b","b","c","2","d"
"10.700000000000001","a","c","b","2","d"
"10.8","c","b","d","2","d"
"10.9","b","c","d","2","d"
"11.0","a","b","d","2","d"
"11.100000000000001","c","c","d","2","d"
"11.200000000000001","b","b","c","2","d"
"11.3","a","c","b","2","d"
"11.4","c","b","d","2","d"
"11.5","b","c","d","2","d"
"11.600000000000001","a","b","d","2","d"
"11.700000000000001","c","c","d","2","d"
"11.8","b","b","c","2","d"
"11.9","a","c","b","2","d"
"12.0","c","b","d","2","d"
"12.100000000000001","b","c","d","2","d"
"12.200000000000001","a","b","d","2","d"
"12.3","c","c","d","2","d"
"12.4","b","b","c","2","d"
"12.5","a","c","b","2","d"
"12.600000000000001","c","b","d","2","d"
"12.700000000000001","b","c","d","2","d"
"12.8","a","b","d","2","d"
"12.9","c","c","d","2","d"
"13.0","b","b","c","2","d"
"13.100000000000001","a","c","b","2","d"
"13.200000000000001","c","b","d","2","d"
"13.3","b","c","d","2","d"
"13.4","a","b","d","2","d"
"13.5","c","c","d","2","d"
"13.600000000000001","b","b","c","2","d"
"13.700000000000001","a","c","b","2","d"
"13.8","c","b","d","2","d"
"13.9","b","c","d","2","d"
"14.0","a","b","d","2","d"
"14.100000000000001","c","c","d","2","d"
"14.200000000000001","b","b","c","2","d"
"14.3","a","c","b","2","d"
"14.4","c","b","d","2","d"
"14.5","b","c","d","2","d"
"14.600000000000001","a","b","d","2","d"
"14.700000000000001","c","c","d","2","d"
"14.8","b","b","c","2","d"
"14.9","a","c","b","2","d"
"15.0","c","b","d","2","d"
"15.100000000000001","b","c","d","2","d"
"15.200000000000001","a","b","d","2","d"
"15.3","c","c","d","2","d"
"15.4","b","b","c","2","d"
"15.5","a","c","b","2","d"
"15.600000000000001","c","b","d","2","d"
"15.700000000000001","b","c","d","2","d"
"15.8","a","b","d","2","d"
"15.9","c","c","d","2","d"
"16.0","b","b","c","2","d"
"16.1","a","c","b","2","d"
"16.2","c","b","d","2","d"
"16.3","b","c","d","2","d"
"16.400000000000002","a","b","d","2","d"
"16.5","c","c","d","2","d"
"16.6","b","b","c","2","d"
"16.7","a","c","b","2","d"
"16.8","c","b","d","2","d"
"16.900000000000002","b","c","d","2","d"
"17.0","a","b","d","2","d"
"17.1","c","c","d","2","d"
"17.2","b","b","c","2","d"
"17.3","a","c","b","2","d"
"17.400000000000002","c","b","d","2","d"
"17.5","b","c","d","2","d"
"17.6","a","b","d","2","d"
"17.7","c","c","d","2","d"
"17.8","b","b","c","2","d"
"17.900000000000002","a","c","b","2","d"
"18.0","c","b","d","2","d"
"18.1","b","c","d","2","d"
"18.2","a","b","d","2","d"
"18.3","c","c","d","2","d"
"18.400000000000002","b","b","c","2","d"
"18.5","a","c","b","2","d"
"18.6","c","b","d","2","d"
"18.7","b","c","d","2","d"
"18.8","a","b","d","2","d"
"18.900000000000002","c","c","d","2","d"
"19.0","b","b","c","2","d"
"19.1","a","c","b","2","d"
"19.200000000000003","c","b","d","2","d"
"19.3","b","c","d","2","d"
"19.400000000000002","a","b","d","2","d"
"19.5","c","c","d","2","d"
"19.6","b","b","c","2","d"
"19.700000000000003","a","c","b","2","d"
"19.8","c","b","d","2","d"
"19.900000000000002","b","c","d","2","d"
"20.0","a","b","d","2","d"
"20.1","c","c","d","2","d"
"20.200000000000003","b","b","c","2","d"
"20.3","a","c","b","2","d"
"20.400000000000002","c","b","d","2","d"
"20.5","b","c","d","2","d"
"20.6","a","b","d","2","d"
"20.700000000000003","c","c","d","2","d"
"20.8","b","b","c","2","d"
"20.900000000000002","a","c","b","2","d"
"21.0","c","b","d","2","d"
"21.1","b","c","d","2","d"
"21.200000000000003","a","b","d","2","d"
"21.3","c","c","d","2","d"
"21.400000000000002","b","b","c","2","d"
"21.5","a","c","b","2","d"
"21.6","c","b","d","2","d"
"21.700000000000003","b","c","d","2","d"
"21.8","a","b","d","2","d"
"21.900000000000002","c","c","d","2","d"
"22.0","b","b","c","2","d"
"22.1","a","c","b","2","d"
"22.200000000000003","c","b","d","2","d"
"22.3","b","c","d","2","d"
"22.400000000000002","a","b","d","2","d"
"22.5","c","c","d","2","d"
"22.6","b","b","c","2","d"
"22.700000000000003","a","c","b","2","d"
"22.8","c","b","d","2","d"
"22.900000000000002","b","c","d","2","d"
"23.0","a","b","d","2","d"
"23.1","c","c","d","2","d"
"23.200000000000003","b","b","c","2","d"
"23.3","a","c","b","2","d"
"23.400000000000002","c","b","d","2","d"
"23.5","b","c","d","2","d"
"23.6","a","b","d","2","d"
"23.700000000000003","c","c","d","2","d"
"23.8","b","b","c","2","d"
"23.900000000000002","a","c","b","2","d"
"24.0","c","b","d","2","d"
"24.1","b","c","d","2","d"
"24.200000000000003","a","b","d","2","d"
"24.3","c","c","d","2","d"
"24.400000000000002","b","b","c","2","d"
"24.5","a","c","b","2","d"
"24.6","c","b","d","2","d"
"24.700000000000003","b","c","d","2","d"
"24.8","a","b","d","2","d"
"24.900000000000002","c","c","d","2","d"
"25.0","b","b","c","2","d"
"25.1","a","c","b","2","d"
"25.200000000000003","c","b","d","2","d"
"25.3","b","c","d","2","d"
"25.400000000000002","a","b","d","2","d"
"25.5","c","c","d","2","d"
"25.6","b","b","c","2","d"
"25.700000000000003","a","c","b","2","d"
"25.8","c","b","d","2","d"
"25.900000000000002","b","c","d","2","d"
"26.0","a","b","d","2","d"
"26.1","c","c","d","2","d"
"26.200000000000003","b","b","c","2","d"
"26.3","a","c","b","2","d"
"26.400000000000002","c","b","d","2","d"
"26.5","b","c","d","2","d"
"26.6","a","b","d","2","d"
"26.700000000000003","c","c","d","2","d"
"26.8","b","b","c","2","d"
"26.900000000000002","a","c","b","2","d"
"27.0","c","b","d","2","d"
"27.1","b","c","d","2","d"
"27.200000000000003","a","b","d","2","d"
"27.3","c","c","d","2","d"
"27.400000000000002","b","b","c","2","d"
"27.5","a","c","b","2","d"
"27.6","c","b","d","2","d"
"27.700000000000003","b","c","d","2","d"
"27.8","a","b","d","2","d"
"27.900000000000002","c","c","d","2","d"
