"Time","F1","F2","F3","C1","C2"
"0.0","a","b","d","1","a"
"0.1","b","c","d","1","a"
"0.2","c","a","d","1","a"
"0.30000000000000004","a","b","d","1","a"
"0.4","b","c","d","1","a"
"0.5","c","a","d","1","a"
"0.6000000000000001","a","b","d","1","a"
"0.7000000000000001","b","c","d","1","a"
"0.8","c","a","d","1","a"
"0.9","a","b","d","1","a"
"1.0","b","c","d","1","a"
"1.1","c","a","d","1","a"
"1.2000000000000002","a","b","d","1","a"
"1.3","b","c","d","1","a"
"1.4000000000000001","c","a","d","1","a"
"1.5","a","b","d","1","a"
"1.6","b","c","d","1","a"
"1.7000000000000002","c","a","d","1","a"
"1.8","a","b","d","1","a"
"1.9000000000000001","b","c","d","1","a"
"2.0","c","a","d","1","a"
"2.1","a","b","d","1","a"
"2.2","b","c","d","1","a"
"2.3000000000000003","c","a","d","1","a"
"2.4000000000000004","a","b","d","1","a"
"2.5","b","c","d","1","a"
"2.6","c","a","d","1","a"
"2.7","a","b","d","1","a"
"2.8000000000000003","b","c","d","1","a"
"2.9000000000000004","c","a","d","1","a"
"3.0","a","b","d","1","a"
"3.1","b","c","d","1","a"
"3.2","c","a","d","1","a"
"3.3000000000000003","a","b","d","1","a"
"3.4000000000000004","b","c","d","1","a"
"3.5","c","a","d","1","a"
"3.6","a","b","d","1","a"
"3.7","b","c","d","1","a"
"3.8000000000000003","c","a","d","1","a"
"3.9000000000000004","a","b","d","1","a"
"4.0","b","c","d","1","a"
"4.1000000000000005","c","a","d","1","a"
"4.2","a","b","d","1","a"
"4.3","b","c","d","1","a"
"4.4","c","a","d","1","a"
"4.5","a","b","d","1","a"
"4.6000000000000005","b","c","d","1","a"
"4.7","c","a","d","1","a"
"4.800000000000001","a","b","d","1","a"
"4.9","b","c","d","1","a"
"5.0","c","a","d","1","a"
"5.1000000000000005","a","b","d","1","a"
"5.2","b","c","d","1","a"
"5.300000000000001","c","a","d","1","a"
"5.4","a","b","d","1","a"
"5.5","b","c","d","1","a"
"5.6000000000000005","c","a","d","1","a"
"5.7","a","b","d","1","a"
"5.800000000000001","b","c","d","1","a"
"5.9","c","a","d","1","a"
"6.0","a","b","d","1","a"
"6.1000000000000005","b","c","d","1","a"
"6.2","c","a","d","1","a"
"6.300000000000001","a","b","d","1","a"
"6.4","b","c","d","1","a"
"6.5","c","a","d","1","a"
"6.6000000000000005","a","b","d","1","a"
"6.7","b","c","d","1","a"
"6.800000000000001","c","a","d","1","a"
"6.9","a","b","d","1","a"
"7.0","b","c","d","1","a"
"7.1000000000000005","c","a","d","1","a"
"7.2","a","b","d","1","a"
"7.300000000000001","b","c","d","1","a"
"7.4","c","a","d","1","a"
"7.5","a","b","d","1","a"
"7.6000000000000005","b","c","d","1","a"
"7.7","c","a","d","1","a"
"7.800000000000001","a","b","d","1","a"
"7.9","b","c","d","1","a"
"8.0","c","a","d","1","a"
"8.1","a","b","d","1","a"
"8.200000000000001","b","c","d","1","a"
"8.3","c","a","d","1","a"
"8.4","a","b","d","1","a"
"8.5","b","c","d","1","a"
"8.6","c","a","d","1","a"
"8.700000000000001","a","b","d","1","a"
"8.8","b","c","d","1","a"
"8.9","c","a","d","1","a"
"9.0","a","b","d","1","a"
"9.1","b","c","d","1","a"
"9.200000000000001","c","a","d","1","a"
"9.3","a","b","d","1","a"
"9.4","b","c","d","1","a"
"9.5","c","a","d","1","a"
"9.600000000000001","a","b","d","1","a"
"9.700000000000001","b","c","d","1","a"
"9.8","c","a","d","1","a"
"9.9","a","b","d","1","a"
"10.0","b","c","d","1","a"
"10.100000000000001","c","a","d","1","a"
"10.200000000000001","a","b","d","1","a"
"10.3","b","c","d","1","a"
